product_name;packaging;brands;labels;countries;ingredients_text;energy-kcal_100g;energy_100g;fat_100g;carbohydrates_100g;sugars_100g;proteins_100g;salt_100g;sodium_100g;is_healthy;ingredient_count
fromage blanc aux myrtilles;;;;france;;129.0;540.0;4.9;16.3;16.3;4.4;0.25;0.1;false;-1
bio gerstengras pulver;plastique;flügelschwinger;glutenfrei;en:france;sorbitol, glycerin , water, carboxymethylcellulose sodium, potassium sorbate;251.0;1050.0;0.4;22.3;8.1;8.8;0.11;0.044;false;5
guimauve chocolat smarties;;le comptoir de mathilde;;france;;472.0;1982.0;19.0;69.0;65.0;5.7;0.12;0.048;false;-1
confiture de fraise mara des bois;;lakanto;;france;erythritol, monk fruit extract;0.0;0.0;0.0;100.0;725.0;0.0;0.0;0.0;false;2
coca cola;plastique;coca-cola;;france;;42.0;176.0;27.0;10.6;1.0;0.0;0.0;0.0;false;-1
melody;;optimum nutrition;sans lactose;en:france;ingrédients (3 gélules) : hydrolysats de collagène marin désodorisés (poisson) 900 mg, tunique d'origine végétale : hydroxypropylméthylcellulose, extrait de fruits d'acérola (malpighia glabra) (240 mg) standardisée en vitamine c (60 mg, 75% des vnr*) (maltodextrine), d-alpha-tocophérol (soja) (équivalent en vitamine e : 12 mg, 100% des vnr*), extrait de riz, b-carotène de blakeslea trispora (0,72 mg de béta-carotène équivalent en vitamine a: 120 µg, 15% des vnr*). *valeurs nutrutionnels de références. origine végétale.;377.0;1580.0;4.33;5.67;3.33;80.0;0.233;0.0933;false;10
organic cacao powder;;sevenhills wholefoods;bio, végétarien, végétalien;france;;271.0;1134.0;5.8;45.0;8.0;8.9;0.62;0.248;false;-1
sweet stevia tablets;;pink sun, weight watchers;no gluten;en:france;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;true;-1
assortiments de tuiles et palets gourmants au chocolat;200 g;bijou;;france;chocolat noir, lécithine de soja, éclats de noisettes, raisins, chocolat blanc...;565.0;2364.0;39.0;42.0;40.0;7.8;0.1;0.04;false;5
potage instantané poireau;sachet;comme j'aime;;france;ingredients matodextrine, fecule de pomme de tere poear shya (12 %). sek epices et aromates épinard ardmes lait reme enpode tarine a ble anti-mottantcarbonate de magndsum analyse nutritionnelle movenne pour 100 a par nertion /90 a);63.0;264.0;0.1;14.0;1.6;1.0;1.4;0.56;true;2
sandwich glacé vanille cacao;bag;bofrost;organic, vegetarian, eu organic, non-eu agriculture, vegan, gb-org-05, soil association organic;france;organic raw criollo cacao powder from peru.;278.0;1163.0;16.7000007629395;28.2000007629395;23.0;3.29999995231628;0.0;0.0;false;1
bijou cacao;fr:20 étuis individuels;bijou;;france;ingnédients farine de blé, sucre, huiles végétales (colza et tournesol), oeufs frais, sirop de glucose-fructose, stabilisant : glycérol, cacao maigre en poudre 1,9%, lait écrémé en poudre, pâte de cacao 0,8%, poudres à lever : carbonates d'ammonium - carbonates de sodium - diphosphates (blé), noisette, lactose, émulsifiants: mono et diglycérides d'acides gras lécithines (soja), sel, arôme. peut contenir des traces d'autres fruits à coque.;469.0;1962.0;25.0;54.0;32.0;5.8;0.7;0.28;false;17
peanut brittle;;berrymans;;en:france;sugar, glucose syrup, peanuts (30%);443.0;1867.0;3.9;72.1;51.5;7.7;0.0;0.0;false;3
assortiment d'amandes cacaotés et croustilles;;bijou;;france;amandes enrobées de chocolat au lait et poudre de cacao : chocolat au lait 65% (sucre, beurre de cacao, lait entier en poudre, pâte de cacao, arôme naturel de vanille), amande torréfiée 33%, poudre de cacao maigre 2%. - billes de céréales enrobées au chocolat au lait praliné : chocolat au lait 65% (sucre, beurre de cacao, lait entier en poudre, pâte de cacao, lait écrémé en poudre, émulsifiant : lécithines (tournesol), arôme naturel de vanille), praliné 21% (noisette 50%, sucre, émulsifiant : lécithines (tournesol)), céréales croustillantes 12% (farine de blé, gluten de blé, farine de malt de blé, poudre à lever: carbonates de sodium, sel), poudre de cacao maigre.;544.0;2276.0;36.0;45.0;39.0;10.0;0.3;0.12;false;22
madeleines chocolait;plastique, carton;bijou;;france;farine de blé 27%, chocolat au lait 18% (sucre, beurre de cacao, lait entier en poudre, pâte de cacao, émulsifiant : lécithines (soja), arôme naturel de vanille), sucre, huile de colza, œufs de poules élevées en plein air 14.5%, sirop de glucose-fructose, stabilisant : glycérol, poudres à lever : carbonates d'ammonium - carbonates de sodium - citrates de sodium (blé), sel, gluten de blé, lait écrémé en poudre, fibres végétales, arôme naturel. peut contenir des traces de fruits à coque.;460.0;1926.0;24.0;54.0;31.0;6.4;0.48;0.192;false;18
biscuits cuillers;10 etuis de 6 biscuits cuillers;bijou;;france;sucre, œufs frais (34%), farine de blé, sirop de sucre inverti, stabilisant glycérol, arôme, sel, acidifiant tartrates de potassium, épaississant : gomme xanthane.;350.0;1482.0;3.5;72.0;48.0;7.0;0.41;0.164;false;9
fondants citron;boîte carton, sachet plastique;bijou;point vert, fabriqué en france;france;mûre bio 50% (fruit 27%, purée 23%) sucre de canne bio, gélifiant: pectine de fruits, traces éventuelle de fruit à coques;249.0;1056.0;0.3;60.0;59.0;0.5;0.05;0.02;false;4
bun thon, sauce tartare;;foodles;;france;;171.7;717.7;6.9;17.4;1.9;10.0;2.6;1.04;false;-1
collagen elixir;;;;en:france;;104.0;435.0;0.0;16.0;14.0;10.0;0.14;0.056;false;-1
véritable pâte à tartiner noisettes chocolat noir;;bovetti;sans gluten,sans huile de palme;france;;617.0;2582.0;48.0;36.0;32.0;8.0;0.01;0.004;false;-1
protein bar, almond and chocolate;boîte;herbalife;it:herbalife;france,espagne;;391.0;1636.0;11.0;45.0;32.0;28.0;0.1;0.04;false;-1
sauce sweety chili 0%;;;;france;;21.0;88.0;0.0;4.8;0.4;0.2;2.04;0.816;true;-1
mendiants - studentenhaver;;;;france;;437.0;1831.0;19.7;55.2;50.09;8.0;0.05;0.02;false;-1
huile d'olive vierge extra cuve magali;;;;france;;823.0;3388.0;92.0;0.0;0.0;0.0;0.0;0.0;false;-1
madeleine bijou chocopépites;;bijou;;france;farine de _blé_, pépites de chocolat 18% (sucre, pâte et beurre de cacao, émulsifiant lécithines (tournesol), arôme), huile de colza, sucre, _oeufs frais_, sirop de glucose-fructose, stabilisant: glycérol, poudres à lever: carbonates d'ammonium - carbonates de sodium - diphosphates (_blé_), arôme, émulsifiants mono et diglycérides d'acides gras, sel, lait écrémé en poudre, épaississant gomme xanthane. peut contenir des traces de _soja_ et de _fruits à coque_.;473.0;1979.0;25.0;55.0;32.0;5.8;0.63;0.252;false;16
whey protein isolate;sachet;bulk supplements;bio, eu-öko-verordnung, eg-öko-verordnung, fr:isoxan sport;en:france;"par sachet : glucides 25,9 g dont sucres 22,7 g protéines 0 g graisses 0 g sel 1,1 g vitamines : vitamines c 10,5 mg vitamines b1 0,3 mg vitamines b6 0 3 mg bêta - carotène 300 ug vitamines a 150 ug minéraux ; calcium 60 mg magnésium 39 mg";110.0;1139.0;8.0;1.7;0.6;26.0;0.1;0.04;false;6
boîte collector madeleines choconoir;12 emballages individuels en plastique, 1 boîte en métal;bijou;;en:france;farine de blé 27%, chocolat noir 18% (pâte de cacao, sucre, beurre de cacao, matière grasse laitière anhydre, émulsifiant : lécithines (soja), arôme naturel de vanille), sucre, huile de colza, oeufs de poules élevées en plein air 14.5%, sirop de glucose-fructose, stabilisant: glycérol, poudres à lever: carbonates d'ammonium - carbonates de sodium - citrates de sodium (blé), sel, gluten de blé, lait écrémé en poudre, fibres végétales, arôme naturel. peut contenir des traces de fruits à coque.;458.0;1917.0;24.0;53.0;29.0;6.3;0.45;0.18;false;18
batido nutricional / nutricional shake;bocal;herbalife nutrition;;france,spain;soya protein isolate (40,8%), cookie crumbs (wheat flour (gluten), rice flour, oat flour (gluten), barley malt flour, sugar, cocoa, corn flour, salt, emulsifier (soya lecithin), fructose, inulin, oat fibre (gluten). polydextrose, soya oil thickeners (quar gum powde, santhan gum, carragenan, pectin), oat bran gluten), milk protein concentrate (1.9 %), flavourings (lactose), calcium citrate, dextrose, potassium phosphate, sodium chloride, anti-caking agent (silicon dioxide), sweeteners (sucralose, acesulfame-k), rapeseed oil, magnesium oxide, ginger root powder, l-ascorbic acid, ferrous fumarate, dl-alpha tocopheryl acetate, liquorice root powder, nicotinamide, papaya powder, zinc oxide, cupric gluconate, retinyl palmitate, d-calcium pantothenate, cholecalciferol, pyridoxine hydrochloride, cyanocobalamin, manganese carbonate, riboflavin, thiamin hydrochloride, ascorbyl palmitate, pteroylmonoglutamic acid, dl-alpha tocopherol, potassium iodide, sodium selenite, d-biotin. contains gluten, milk and soya. south africa, ltd.;354.0;1484.0;9.0;20.0;9.4;39.0;1.9;0.76;false;55
poutargue de mulet;;;;en:france;;377.0;1577.0;22.7;2.4;0.2;40.5;3.85;1.54;false;-1
